position2,acceleration2
3.735047,180.051274
-0.125088,179.912978
-10.056742,179.936233
-2.047844,179.992129
27.31158,179.984526
2.908288,180.075131
-2.925749,179.973476
15.962682,179.904546
13.469935,85.126037
41.114679,-9.786513
32.778074,-9.586212
35.332283,-9.684713
25.390269,-9.757027
48.776745,-9.713555
31.055911,-9.832238
58.921535,-9.967752
21.406815,-9.709313
69.277872,-9.798467
46.562804,-9.666274
56.347295,-9.719389
60.368199,-9.733706
69.341812,-9.841072
72.580001,-9.730854
91.948404,-9.845489
74.984035,-9.785625
82.405111,-9.815801
89.502033,-9.780767
89.256555,-9.598954
86.522637,-9.822964
99.96743,-9.84608
84.959235,-9.691604
94.68732,-9.870615
108.628447,-9.813163
106.124231,-9.921055
116.654319,-9.781169
106.02537,-9.763656
105.38489,-9.758756
118.75952,-9.810362
118.978192,-9.754942
107.137784,-9.854116
127.218849,-9.965446
129.629994,-9.860156
115.013314,-9.737809
111.525068,-9.674648
133.162117,-9.727231
161.954822,-9.860152
150.351748,-9.778621
172.15849,-9.907966
139.173784,-9.755942
154.774147,-9.772828
143.135898,-9.947186
179.824102,-9.838001
147.505063,-9.662689
166.982156,-9.990229
173.380957,-9.869052
157.565159,-9.95148
186.808022,-9.904597
167.532296,-9.958842
162.190748,-9.776753
182.108874,-9.894256
180.530104,-9.801155
186.276849,-9.753275
182.61663,-9.838934
203.837913,-9.75351
194.082004,-9.829047
202.866359,-9.835922
180.37553,-9.779211
214.388715,-9.721825
196.185241,-9.840841
219.760479,-9.661748
194.354251,-9.921982
210.934011,-10.001221
182.26936,-9.789701
206.580493,-10.018896
225.697789,-10.070775
221.658641,-9.824592
234.557305,-9.799716
228.556396,-9.847711
210.003526,-9.842439
232.157582,-9.769099
228.549178,-9.852976
252.697079,-9.799332
239.456751,-9.847727
246.910814,-9.853609
242.906149,-9.652332
233.665753,-9.640692
249.499706,-9.793765
252.288543,-9.738332
255.84451,-9.697111
243.696313,-9.952678
231.230511,-10.027824
257.728993,-9.703309
245.605074,-9.80596
268.27081,-9.939774
249.351111,-9.747858
273.769954,-9.744153
280.143949,-9.639754
248.297083,-9.829542
268.714274,-9.828805
275.390321,-9.912491
269.169737,-10.042689
255.540693,-9.873876
252.116175,-9.707592
284.355129,-9.907275
275.572264,-9.7891
253.616224,-9.943406
260.49078,-9.679542
287.663056,-9.694956
269.308391,-9.887572
289.745864,-9.905091
291.1698,-9.722994
271.296391,-9.714188
295.597138,-9.727829
292.793659,-9.807601
265.99244,-9.781886
289.567491,-9.767887
296.627043,-9.848708
299.319312,-9.634068
283.8577,-9.89404
301.492308,-9.876454
275.626849,-9.807357
280.287924,-9.802664
295.009202,-9.907498
292.49881,-9.925021
290.082517,-9.876058
307.630398,-9.843193
306.870979,-9.812095
290.815935,-9.927006
291.910278,-9.873613
315.553832,-9.852739
306.975806,-9.905995
295.825121,-9.72049
286.757316,-9.763646
305.914198,-9.841456
297.537784,-9.6673
291.329259,-9.705671
303.976131,-9.822447
305.863301,-9.71758
307.784233,-9.829762
299.488234,-9.852882
308.999288,-9.886479
308.907539,-9.689704
307.757608,-9.670909
310.408872,-9.713442
305.501554,-9.822383
326.344943,-9.688545
317.294267,-9.819466
301.54607,-9.790993
329.934111,-9.812949
289.729324,-9.849286
306.556267,-9.784909
322.23705,-9.786676
333.931303,-9.901458
305.960789,-9.796258
338.397374,-9.572291
332.209575,-9.765329
325.079846,-9.678012
311.809795,-9.783995
314.725446,-9.844625
335.937751,-9.828595
330.998114,-9.937943
318.192159,-9.879924
316.710244,-9.734849
333.180714,-9.758617
322.390271,-9.825862
314.986125,-9.560533
316.62834,-9.65165
320.83638,-9.81249
307.17645,-9.822492
309.039233,-9.749691
304.640966,-9.857863
317.986916,-9.7122
311.42307,-9.788391
319.070912,-9.765349
298.533659,-9.917374
304.080775,-9.796063
324.17076,-9.780346
315.868894,-9.932805
329.443999,-9.919031
324.229477,-9.910472
311.043489,-9.744066
317.031618,-9.745536
309.37354,-9.970721
306.154747,-9.79895
297.830989,-9.956094
316.40249,-9.808094
316.83272,-9.774134
305.077048,-9.987225
305.406621,-9.690338
309.034613,-9.816136
315.746232,-9.918504
289.986199,-9.590794
303.145106,-9.637453
310.389225,-9.775455
309.811353,-9.827668
311.792458,-9.720424
305.127746,-9.73031
297.07838,-10.02818
292.986294,-9.892365
314.998299,-9.939898
306.008557,-9.856784
308.542384,-9.710353
313.006543,-9.9452
296.83887,-9.849951
290.603012,-9.749392
296.212364,-10.080661
299.842884,-9.676152
270.031239,-9.998878
300.56031,-9.820436
268.801935,-9.831373
286.594002,-9.797674
284.024409,-9.748439
262.213383,-9.949821
278.920074,-9.699494
289.140685,-9.813144
291.923843,-9.79412
269.042749,-9.917014
263.635614,-9.814446
294.304744,-9.778794
277.660718,-9.80032
267.791967,-9.767313
270.102682,-9.920304
264.98072,-10.012926
274.393739,-9.818416
277.5382,-9.910473
248.223405,-9.819974
242.971699,-9.777416
264.436459,-9.940164
258.693848,-9.971176
278.657225,-9.89686
257.521452,-9.888631
255.12629,-9.830309
244.321488,-9.835663
272.770284,-9.718449
266.820407,-9.823366
247.732752,-9.743651
245.522929,-9.834014
256.963454,-9.927828
232.016308,-9.74645
239.130628,-9.876206
236.023816,-9.952806
239.329826,-9.767127
269.026932,-9.756423
221.689424,-9.768828
216.84281,-9.877373
252.578162,-9.808193
230.285688,-9.880916
236.424785,-9.799772
213.813691,-9.851107
215.873829,-9.748199
224.6275,-9.827768
215.150934,-9.853409
236.960105,-9.791867
222.739218,-9.926078
208.482315,-9.829728
203.647045,-9.915811
204.802462,-9.858023
215.698574,-9.712553
212.085646,-9.789184
212.194737,-9.850148
186.516166,-9.774793
193.313345,-9.784039
209.011846,-9.846598
175.156507,-9.92356
196.035871,-9.648492
175.752023,-9.805497
195.683501,-9.661796
179.149471,-9.81424
201.702886,-9.69874
175.546526,-9.756479
183.316503,-9.810666
159.167983,-9.954057
165.214339,-9.876455
171.543902,-9.841564
133.945873,-9.721562
162.174979,-9.727919
150.462295,-9.785273
151.043309,-9.816866
156.016461,-9.763709
173.012627,-9.858957
133.534713,-9.717445
141.131632,-9.875014
135.398504,-9.942903
133.815477,-9.821499
140.266924,-9.944499
142.575844,-9.782077
131.342231,-9.697184
115.328943,-9.936232
115.424845,-9.96153
130.825269,-9.831989
116.79595,-9.817664
119.20088,-9.70515
123.422271,-9.781192
117.097419,-9.771564
87.248379,-9.879922
112.500819,-9.811478
92.81764,-9.714601
102.890045,-9.747234
85.107574,-9.833488
93.116444,-9.838783
70.404243,-9.593768
101.038198,-9.775698
61.499184,-9.866018
58.03896,-9.84895
59.620005,-9.794828
68.237951,-9.687273
75.741404,-9.834996
61.81913,-9.79541
61.463655,-9.65713
42.965027,-9.712872
46.929914,-9.85256
53.57268,-9.893494
70.962406,-9.698382
33.341971,-9.812307
17.539152,-9.820108
19.182019,-9.933662
35.132278,-10.048884
38.035784,-9.88928
37.395854,-9.682254
31.155585,-9.85444
17.681341,-9.886913
24.859604,-9.84177
14.935969,-9.746974
7.131338,-9.879901
10.061828,-10.02488
-16.874224,-9.875355
-18.94962,-9.709842
0.306259,0.120055
